EventTime,DeviceName,RSSI,SNR,Description
9/17/2020 3:28,Dry Contact Sensor 01,-25,10.5,Contacts Shorted
9/17/2020 3:28,Dry Contact Sensor 01,-25,7.5,Contacts opened
9/17/2020 3:28,Dry Contact Sensor 01,-26,9.5,Contacts Shorted
9/17/2020 3:28,Dry Contact Sensor 01,-23,9.5,Contacts opened
9/17/2020 3:28,Dry Contact Sensor 01,-30,6.2,Contacts Shorted
9/17/2020 3:27,Dry Contact Sensor 01,-27,9.8,Contacts opened
9/17/2020 3:27,Dry Contact Sensor 01,-21,8,Contacts Shorted
9/17/2020 3:27,Dry Contact Sensor 01,-26,9,Contacts opened
9/17/2020 3:27,Dry Contact Sensor 01,-24,8,Contacts Shorted
9/17/2020 3:27,Dry Contact Sensor 01,-32,10,Contacts opened
9/17/2020 3:27,Dry Contact Sensor 01,-27,8.8,Contacts Shorted
9/17/2020 3:25,Dry Contact Sensor 01,-27,9.2,Contacts opened
9/17/2020 3:25,Dry Contact Sensor 01,-37,8.8,Contacts Shorted
9/17/2020 3:24,Dry Contact Sensor 01,-32,9.5,Contacts opened
9/17/2020 3:24,Dry Contact Sensor 01,-27,9.2,Contacts Shorted
9/17/2020 3:22,Dry Contact Sensor 01,-27,10.8,Contacts opened
9/17/2020 3:22,Dry Contact Sensor 01,-33,9.8,Contacts Shorted
9/17/2020 3:22,Dry Contact Sensor 01,-39,6.8,Contacts opened
9/17/2020 3:22,Dry Contact Sensor 01,-26,8.2,Contacts Shorted
9/17/2020 3:21,Dry Contact Sensor 01,-27,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:20,Dry Contact Sensor 01,-26,8.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:20,Dry Contact Sensor 01,-26,11,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:20,Dry Contact Sensor 01,-23,9.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:19,Dry Contact Sensor 01,-23,8.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:19,Dry Contact Sensor 01,-26,6.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:19,Dry Contact Sensor 01,-27,11.2,Supervisory Message Accumulation Count: 18 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:18,Dry Contact Sensor 01,-21,9.5,Contacts opened
9/17/2020 3:18,Dry Contact Sensor 01,-26,8.2,Contacts Shorted
9/17/2020 3:18,Dry Contact Sensor 01,-22,9.8,Contacts opened
9/17/2020 3:18,Dry Contact Sensor 01,-26,6,Contacts Shorted
9/17/2020 3:17,Dry Contact Sensor 01,-45,10.5,Contacts opened
9/17/2020 3:17,Dry Contact Sensor 01,-41,9.5,Contacts Shorted
9/17/2020 3:16,Dry Contact Sensor 01,-43,9.5,Contacts opened
9/17/2020 3:16,Dry Contact Sensor 01,-45,9.5,Contacts Shorted
9/17/2020 3:16,Dry Contact Sensor 01,-48,6.8,Contacts opened
9/17/2020 3:15,Dry Contact Sensor 01,-49,10.5,Contacts Shorted
9/17/2020 3:15,Dry Contact Sensor 01,-47,6.5,Contacts opened
9/17/2020 3:15,Dry Contact Sensor 01,-46,9.5,Contacts Shorted
9/17/2020 3:15,Dry Contact Sensor 01,-39,9,Contacts opened
9/17/2020 3:14,Dry Contact Sensor 01,-41,6.2,Contacts Shorted
9/17/2020 3:14,Dry Contact Sensor 01,-42,9.8,Contacts opened
9/17/2020 3:14,Dry Contact Sensor 01,-43,8.8,Contacts Shorted
9/17/2020 3:14,Dry Contact Sensor 01,-42,10.2,Contacts opened
9/17/2020 3:14,Dry Contact Sensor 01,-51,10,Contacts Shorted
9/17/2020 3:14,Dry Contact Sensor 01,-29,7.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:14,Dry Contact Sensor 01,-29,9.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:13,Dry Contact Sensor 01,-29,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:13,Dry Contact Sensor 01,-27,9,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/17/2020 3:05,Dry Contact Sensor 01,-34,9.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 20:54,Dry Contact Sensor 01,-26,11.2,Enclosure Open
9/15/2020 20:53,Dry Contact Sensor 01,-104,-13.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:53,Dry Contact Sensor 01,-69,10.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:52,Dry Contact Sensor 01,-59,9.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:47,Dry Contact Sensor 01,-95,1.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:47,Dry Contact Sensor 01,-96,-3.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:46,Dry Contact Sensor 01,-96,-6.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:42,Dry Contact Sensor 01,-51,6.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:42,Dry Contact Sensor 01,-63,11,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:42,Dry Contact Sensor 01,-57,9.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:17,Dry Contact Sensor 01,-98,-2.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 19:03,Dry Contact Sensor 01,-62,9.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:54,Dry Contact Sensor 01,-17,9.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:53,Dry Contact Sensor 01,-51,9.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:52,Dry Contact Sensor 01,-24,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:52,Dry Contact Sensor 01,-22,8.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:50,Dry Contact Sensor 01,-26,9.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:49,Dry Contact Sensor 01,-33,6.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
